City,Date,Overall_AQI,Prominent_Pollutant,PM2.5_Conc,PM10_Conc,NO2_Conc,SO2_Conc,CO_Conc,O3_Conc,NH3_Conc,Pb_Conc
Ahmedabad,2026-06-06,194,CO,27.1,45.2,92.19,23.34,9.51,0.0,,
Bengaluru,2025-12-10,311,PM25,133.28,,,,,,,
Chennai,2026-06-06,300,PM25,119.85,26.87,7.53,9.29,0.47,24.33,,
Coimbatore,2026-06-06,84,CO,14.0,42.44,18.41,26.11,1.68,4.32,,
Delhi,2018-02-22,428,PM25,451.0,,40.3,,,,,
Ghaziabad,2026-06-06,416,PM10,271.0,670.0,469.0,8.9,1.3,17.87,,
Hyderabad,2026-03-02,177,PM25,83.0,135.0,29.4,0.0,2.67,0.7,,
Indore,2026-06-05,300,PM25,120.0,289.0,10.9,14.1,1.05,23.5,,
Jaipur,2026-06-06,302,PM25,121.7,164.8,136.52,12.0,1.96,3.41,,
Kanpur,2026-06-06,369,PM25,209.0,318.0,100.7,8.4,0.66,9.4,,
Kochi,2022-10-16,71,PM25,42.5,69.75,0.01,0.0,0.22,1.6,,
Kolkata,2016-11-09,405,PM25,279.1,,,,,,,
Kozhikode,2022-10-16,97,PM10,50.0,97.0,17.5,5.77,0.97,7.98,,
Lucknow,2018-02-22,381,PM25,224.64,,109.32,30.9,1.19,22.72,,
Mumbai,2022-10-31,466,PM25,738.75,138.0,41.21,43.92,0.0,11.09,,
Nagpur,2026-06-06,196,PM25,88.7,102.83,12.02,0.0,0.2,11.05,,
Patna,2026-06-06,406,PM10,100.5,509.1,16.34,6.15,1.28,23.43,,
Pune,2025-05-23,500,PM25,1060.0,1700.0,500.0,300.0,0.15,760.0,,
Surat,2026-06-06,69,PM10,32.79,68.71,2.5,9.47,0.0,12.71,,
