City,City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
Indore,INDORE,9348.39,7146.41,5647.56,4659,3707,1808,1276
Surat,SURAT,9348.39,6924.84,5519.59,3861,3318,1762,1605
Mumbai,NAVI MUMBAI,9240.3,6852.91,5467.89,4129,3536,1705,1530
Delhi,NEW DELHI (NDMC),8728.3,6550.04,5193.27,4191,3597,1708,1704
Hyderabad,GREATER HYDERABAD,8601.3,5612.68,4047.01,3455,3092,1605,1355
Pune,PUNE,8595.2,5708.42,4477.31,3446,3471,1660,1533
Ahmedabad,AHMEDABAD,8041.5,5720.87,5207.13,4137,3373,1657,1452
Ghaziabad,GHAZIABAD,7222.5,5387.67,4283.26,3877,2993,672,820
Lucknow,LUCKNOW,7009.0,5209.69,4728.28,0,0,860,1237
Kanpur,KANPUR,6409.6,4165.43,3783.88,3113,2771,1053,1090
Patna,PATNA,6320.9,3337.28,1552.11,0,0,880,746
Nagpur,NAGPUR,6163.8,4171.92,4345.06,3160,2835,1158,1348
Bengaluru,BENGALURU,5520.1,2892.98,2656.82,0,0,968,1182
Jaipur,JAIPUR HERITAGE (MC),4685.5,4230.96,0.0,0,0,0,0
Coimbatore,COIMBATORE,4496.6,2899.11,2337.12,3412,3292,1650,1361
Chennai,CHENNAI,4313.8,2866.14,2010.93,3118,2586,916,1194
Kochi,KOCHI,0.0,2071.51,0.0,0,0,856,990
Kozhikode,KOZHIKODE,0.0,1771.87,0.0,0,0,887,1107
