SL,City,2022,2023,2024,Actual Population (in Lakhs) (2011),Rate of Cognizable Crimes (IPC+SLL) (2024),Chargesheeting Rate (2024),rank
1,Ahmedabad (Gujarat),53845,53311,49250,63.5,775.3,93,0.057308756
2,Bengaluru (Karnataka),46187,68520,57555,85,677.2,54.4,0.057308756
3,Chennai (Tamil Nadu),39138,36502,45766,87,526.3,93.8,0.057308756
4,Coimbatore (Tamil Nadu),9250,8812,7942,21.5,369.2,80,0.057308756
5,Delhi City,318555,343483,297666,163.1,1824.5,36.8,0.057308756
6,Ghaziabad (Uttar Pradesh),13207,11384,10530,23.6,446.4,55.1,0.057308756
7,Hyderabad (Telangana),23183,25749,30309,77.5,391.1,59,0.057308756
8,Indore (Madhya Pradesh),27127,24075,17360,21.7,801.1,73.9,0.057308756
9,Jaipur (Rajasthan),36961,39237,36946,30.7,1202.3,51.5,0.057308756
10,Kanpur (Uttar Pradesh),15260,13114,14776,29.2,506,80.4,0.057308756
11,Kochi (Kerala),28766,67616,21516,21.2,1015.9,96.5,0.057308756
12,Kolkata (West Bengal),12213,11843,13219,141.1,93.7,95.4,0.057308756
13,Kozhikode (Kerala),11589,18002,15754,20.3,775.7,95.6,0.057308756
14,Lucknow (Uttar Pradesh),19058,29472,31421,29,1083.1,67.4,0.057308756
15,Mumbai (Maharashtra),89098,65441,70054,184.1,380.4,80.8,0.057308756
16,Nagpur (Maharashtra),19167,24036,21898,25,876.6,77.9,0.057308756
17,Patna (Bihar),21393,23530,17217,20.5,841.1,78.3,0.057308756
18,Pune (Maharashtra),14173,17022,18560,50.5,367.5,80.9,0.057308756
19,Surat (Gujarat),55300,63142,63166,45.8,1377.7,97.7,0.057308756
