Rank,State/UT Name,ULB Name,Total Score (12500),SS2024(10000),SS2025(2500),ODF(1200),rank,GFC(!300)
1,GUJARAT,AHMEDABAD,12079,9579,1300,1200,0.057308756,
36,KARNATAKA,BRUHAT BENGALURU MAHANAGARA PALIKE,6842,6247,0,1200,0.057308756,
38,TAMIL NADU,CHENNAI,6822,6327,0,1200,0.057308756,
28,TAMIL NADU,COIMBATORE,8347,7587,0,1000,0.057308756,
31,DELHI,MUNICIPAL CORPORATION OF DELHI,7920,7080,500,1200,0.0706241,
11,UTTAR PRADESH,GHAZIABAD (M. Corp),11514,9254,1100,1200,0.057308756,
6,TELANGANA,GREATER HYDERABAD,11805,9350,1300,1200,0.057308756,
16,RAJASTHAN,JAIPUR GREATER (MC),10793,8923,800,1200,0.057308756,
20,RAJASTHAN,JAIPUR HERITAGE (MC),10630,8925,800,1000,0.057308756,
13,UTTAR PRADESH,KANPUR (M. Corp),11022,8802,1100,1200,0.057308756,
3,UTTAR PRADESH,LUCKNOW (M. Corp),12001,9501,1300,1200,0.057308756,
33,MAHARASHTRA,GREATER MUMBAI,7419,6894,0,750,0.057308756,
27,MAHARASHTRA,NAGPUR,9328,8263,0,1200,0.057308756,
21,BIHAR,PATNA,10584,8659,800,1200,0.057308756,
8,MAHARASHTRA,PUNE,11653,9393,1100,1200,0.057308756,
50,KERALA,KOCHI,8181,7236,,1000,0.057308756,500
70,KERALA,KOZHIKODE,7101,6716,,750,0.057308756,0
