Sl_No,City,Road_Cases,Road_Injured,Road_Died,Railway_Cases,Railway_Injured,Railway_Died,Railway_Track_Cases,Railway_Track_Injured,Railway_Track_Died,Railway_Crossing_Cases,Railway_Crossing_Injured,Railway_Crossing_Died,Total_Cases,Total_Injured,Total_Died
38,Ahmedabad,1586,1269,410,0,0,0,50,0,50,0,0,0,1636,1269,460
41,Bengaluru,4769,4022,894,0,0,0,0,0,0,0,0,0,4769,4022,894
44,Chennai,3762,3970,542,0,0,0,0,0,0,0,0,0,3762,3970,542
46,Coimbatore,1176,1052,296,0,0,0,0,0,0,0,0,0,1176,1052,296
47,Delhi,5573,4718,1551,0,0,0,933,308,625,5,0,5,6511,5026,2181
51,Ghaziabad,977,843,377,0,0,0,43,0,43,0,0,0,1020,843,420
53,Hyderabad,3785,3393,301,0,0,0,0,0,0,0,0,0,3785,3393,301
54,Indore,3488,2566,330,0,0,0,17,0,17,0,0,0,3505,2566,347
56,Jaipur,3115,2580,860,0,0,0,141,0,141,0,0,0,3256,2580,1001
60,Kanpur,1692,1132,560,0,0,0,150,0,150,0,0,0,1842,1132,710
61,Kochi,2901,3241,172,0,0,0,0,0,0,28,0,29,2929,3241,201
62,Kolkata,1242,1150,92,0,0,0,0,0,0,0,0,0,1242,1150,92
65,Kozhikode,2160,2486,154,0,0,0,19,0,19,10,0,10,2189,2486,183
66,Lucknow,1634,1127,600,0,0,0,29,0,30,12,0,12,1675,1127,642
71,Mumbai,348,37,348,0,0,0,0,0,0,0,0,0,348,37,348
72,Nagpur,1255,1281,345,0,0,0,40,0,40,0,0,0,1295,1281,385
74,Patna,448,321,280,0,0,0,24,0,25,0,0,0,472,321,305
76,Pune,373,18,381,0,0,0,59,0,59,0,0,0,432,18,440
81,Surat,659,473,314,0,0,0,64,0,64,0,0,0,723,473,378
