Sl_No,City,Road_Cases,Road_Injured,Road_Died,Railway_Cases,Railway_Injured,Railway_Died,Railway_Track_Cases,Railway_Track_Injured,Railway_Track_Died,Railway_Crossing_Cases,Railway_Crossing_Injured,Railway_Crossing_Died,Total_Cases,Total_Injured,Total_Died
37,AGRA,1223,986,586,0,0,0,29,0,26,5,1,3,1257,987,615
38,AHMEDABAD,1586,1269,410,0,0,0,50,0,50,0,0,0,1636,1269,460
39,AMRITSAR,111,57,78,0,0,0,0,0,0,0,0,0,111,57,78
40,ASANSOL,420,219,202,0,0,0,7,0,7,0,0,0,427,219,209
41,BENGALURU,4769,4022,894,0,0,0,0,0,0,0,0,0,4769,4022,894
42,BHOPAL,2900,2223,235,0,0,0,49,0,49,32,0,32,2981,2223,316
43,CHANDIGARH (CITY),170,128,63,0,0,0,0,0,0,0,0,0,170,128,63
44,CHENNAI,3762,3970,542,0,0,0,0,0,0,0,0,0,3762,3970,542
45,CHHATRAPATI SAMBHAJINAGAR,532,402,206,0,0,0,47,0,47,0,0,0,579,402,253
46,COIMBATORE,1176,1052,296,0,0,0,0,0,0,0,0,0,1176,1052,296
47,DELHI (CITY),5573,4718,1551,0,0,0,933,308,625,5,0,5,6511,5026,2181
48,DHANBAD,164,102,94,0,0,0,0,0,0,0,0,0,164,102,94
49,DURG BHILAINAGAR,839,722,138,0,0,0,37,0,37,0,0,0,876,722,175
50,FARIDABAD,647,468,287,0,0,0,12,0,12,0,0,0,659,468,299
51,GHAZIABAD,977,843,377,0,0,0,43,0,43,0,0,0,1020,843,420
52,GWALIOR,1190,1144,153,0,0,0,0,0,0,35,0,35,1225,1144,188
53,HYDERABAD,3785,3393,301,0,0,0,0,0,0,0,0,0,3785,3393,301
54,INDORE,3488,2566,330,0,0,0,17,0,17,0,0,0,3505,2566,347
55,JABALPUR,2054,2081,179,0,0,0,38,0,5,0,0,0,2092,2081,184
56,JAIPUR,3115,2580,860,0,0,0,141,0,141,0,0,0,3256,2580,1001
57,JAMSHEDPUR,129,108,58,0,0,0,0,0,0,0,0,0,129,108,58
58,JODHPUR,748,607,233,0,0,0,17,0,17,0,0,0,765,607,250
59,KANNUR,1718,1991,125,0,0,0,4,0,4,13,0,13,1735,1991,142
60,KANPUR,1692,1132,560,0,0,0,150,0,150,0,0,0,1842,1132,710
61,KOCHI,2901,3241,172,0,0,0,0,0,0,28,0,29,2929,3241,201
62,KOLKATA,1242,1150,92,0,0,0,0,0,0,0,0,0,1242,1150,92
63,KOLLAM,1938,2180,153,0,0,0,0,0,0,28,0,28,1966,2180,181
64,KOTA,492,528,117,0,0,0,31,0,31,0,0,0,523,528,148
65,KOZHIKODE,2160,2486,154,0,0,0,19,0,19,10,0,10,2189,2486,183
66,LUCKNOW,1634,1127,600,0,0,0,29,0,30,12,0,12,1675,1127,642
67,LUDHIANA,483,199,376,0,0,0,0,0,0,0,0,0,483,199,376
68,MADURAI,645,468,228,0,0,0,0,0,0,0,0,0,645,468,228
69,MALAPPURAM,1121,1215,103,0,0,0,2,0,2,0,0,0,1123,1215,105
70,MEERUT,396,406,173,0,0,0,0,0,0,29,0,29,425,406,202
71,MUMBAI,348,37,348,0,0,0,0,0,0,0,0,0,348,37,348
72,NAGPUR,1255,1281,345,0,0,0,40,0,40,0,0,0,1295,1281,385
73,NASIK,168,44,152,0,0,0,33,0,33,0,0,0,201,44,185
74,PATNA,448,321,280,0,0,0,24,0,25,0,0,0,472,321,305
75,PRAYAGRAJ,1379,832,547,0,0,0,0,0,0,0,0,0,1379,832,547
76,PUNE,373,18,381,0,0,0,59,0,59,0,0,0,432,18,440
77,RAIPUR,1055,588,467,0,0,0,19,0,19,0,0,0,1074,588,486
78,RAJKOT,416,377,160,0,0,0,13,0,13,0,0,0,429,377,173
79,RANCHI,243,153,113,0,0,0,0,0,0,0,0,0,243,153,113
80,SRINAGAR,443,458,53,0,0,0,0,0,0,0,0,0,443,458,53
81,SURAT,659,473,314,0,0,0,64,0,64,0,0,0,723,473,378
82,THIRUVANANTHAPURAM,2180,2377,170,0,0,0,8,0,8,1,0,1,2189,2377,179
83,THRISSUR,2262,2762,213,0,0,0,28,0,28,0,0,0,2290,2762,241
84,TIRUCHIRAPPALLI,563,636,164,0,0,0,0,0,0,0,0,0,563,636,164
85,VADODARA,557,432,183,0,0,0,11,0,11,0,0,0,568,432,194
86,VARANASI,199,160,223,0,0,0,34,0,31,0,0,0,233,160,254
87,VASAI VIRAR,285,164,141,0,0,0,0,0,0,0,0,0,285,164,141
88,VIJAYAWADA,1343,1156,430,0,0,0,0,0,0,0,0,0,1343,1156,430
89,VISHAKHAPATNAM,1283,1158,346,0,0,0,0,0,0,1,0,1,1284,1158,347
TOTAL,TOTAL (CITIES),71239,63210,15956,0,0,0,1988,308,1643,199,1,198,73426,63519,17797
